median_aqi,pm25_days,unhealthy_days,resp_death_rate,Risk_Cluster
45,0,0,0.000168324,1
49,220,1,0.000285697,2
43,210,0,0.000244894,2
50,289,0,0.000296395,2
40,188,1,0.000246006,0
46,73,3,0.000203608,0
46,0,25,0.000297614,1
52,281,0,0.000111461,2
52,299,0,0.000231748,2
33,0,1,0.000224451,1
37,356,0,0.000298759,2
53,96,3,0.000255276,0
52,249,1,0.000289694,2
53,304,0,0.000321545,2
40,44,4,0.000250396,1
55,331,1,0.000170003,2
58,146,6,0.000131651,0
61,292,0,0.000329023,2
34,0,0,0.000173814,1
45,0,13,0.000321833,1
35,91,0,0.000146814,0
52,246,1,0.000144694,2
20,118,0,0.000282573,0
50,89,4,0.000178546,0
42,0,8,0.00014016,1
37,0,0,0.000354245,1
39,63,0,0.000152212,0
44,0,1,0.000249011,1
35,0,2,0.000338447,1
80,180,36,0.000223513,0
42,201,0,0.000269414,2
52,290,0,0.0001548,2
57,96,4,0.000243458,0
36,0,0,0.000350169,1
19,0,0,0.00031177,1
70,160,9,0.000144792,0
33,0,0,0.00028725,1
50,67,0,0.00016642,0
48,279,0,0.000181038,2
55,324,0,0.000147183,2
44,0,13,0.000157063,1
44,68,0,0.000339938,0
24,40,1,0.000185715,1
43,0,2,0.000170833,1
45,0,0,0.000210491,1
33,0,0,0.000310008,1
35,109,0,0.000232509,0
38,0,0,0.000320023,1
52,228,3,0.000124052,2
42,110,0,0.000143566,0
37,365,0,0.000215215,2
28,0,0,0.000268708,1
43,68,2,0.000228742,0
56,201,5,0.000198655,2
46,0,0,0.000314481,1
41,0,0,0.000229952,1
34,360,0,0.000238167,2
53,361,2,0.000277724,2
44,0,1,0.000210608,1
43,34,0,0.000343098,1
39,116,0,0.000299334,0
29,361,0,0.000221298,2
27,0,0,0.000341117,1
42,0,10,9.89e-05,1
54,299,0,0.000420815,2
43,0,0,0.000328261,1
18,54,0,0.000362302,1
44,101,2,0.000399606,0
13,116,0,0.000165344,0
31,190,0,0.000204229,0
31,54,0,0.000369964,1
42,97,0,0.00022696,0
56,121,0,0.000380522,0
49,0,0,0.000176857,1
42,0,1,0.000122171,1
47,242,0,0.000209258,2
50,232,0,0.000176946,2
38,123,0,0.000128474,0
49,365,0,0.000126624,2
43,72,2,0.00028329,0
60,235,0,0.000245875,2
44,0,0,0.000363087,1
17,110,0,0.000286519,0
52,279,0,0.000413621,2
50,287,0,0.000271706,2
46,113,0,0.000211333,0
37,23,5,0.000233386,1
49,83,5,0.000199999,0
55,90,0,0.000189591,0
40,95,0,0.000233075,0
44,0,0,0.000223503,1
38,0,0,0.000270486,1
22,0,0,0.000140742,1
55,123,0,0.000265401,0
13,58,0,0.000319404,1
43,0,1,0.000163007,1
53,179,0,0.000266497,0
38,0,0,0.000189213,1
45,52,7,0.000279362,1
28,111,0,0.000261021,0
47,0,0,0.000167003,1
15,91,0,0.00038085,0
42,0,0,0.000295083,1
47,119,0,0.00019457,0
52,291,0,0.000184644,2
32,6,0,0.000188021,1
43,102,0,0.000265333,0
42,122,0,0.000306647,0
11,111,0,0.000249566,0
11,109,0,5.86e-05,0
27,263,0,0.000211853,2
38,0,0,0.000138742,1
15,107,0,0.000517788,0
44,0,0,0.000406465,1
36,362,0,0.000288527,2
51,323,1,0.000505136,2
39,158,0,0.000233751,0
29,94,0,0.000151234,0
80,203,36,0.000217557,2
42,228,0,0.000100858,2
46,0,0,0.000250654,1
11,0,0,0.000246558,1
38,0,0,0.000127322,1
59,343,0,0.000264723,2
46,0,1,0.000270642,1
37,7,0,0.000285532,1
42,93,1,0.000155908,0
29,0,0,0.000219574,1
46,0,0,0.000318682,1
42,365,1,0.000209154,2
32,0,0,0.000236151,1
51,106,0,0.000292113,0
43,255,0,0.000205469,2
44,79,0,0.000124864,0
40,82,0,0.000211469,0
36,82,0,0.000267925,0
45,0,1,0.00019034,1
53,229,3,0.000225555,2
44,97,2,0.000346311,0
69,332,15,0.000287126,2
56,112,0,0.000357809,0
59,247,7,0.000229377,2
46,0,0,0.000207606,1
24,0,0,0.000294918,1
40,0,1,0.000207377,1
41,0,0,0.000377458,1
27,108,0,8.67e-05,0
35,14,0,0.000329699,1
49,272,1,0.000214947,2
31,84,0,0.000263477,0
32,0,0,0.00018786,1
42,0,2,0.000201769,1
44,242,0,0.000119669,2
38,66,3,0.000193489,0
23,338,0,0.000139673,2
18,59,2,0.000138775,1
58,257,2,0.000225146,2
51,0,2,0.000252631,1
49,0,16,0.000138278,1
34,0,0,0.000221186,1
49,90,0,0.00030807,0
39,316,1,0.000176895,2
34,0,0,0.000220262,1
54,167,3,0.000183555,0
36,317,0,0.000105376,2
43,92,2,0.000165277,0
37,365,0,0.000230832,2
54,76,12,0.000275445,0
44,82,6,0.000248936,0
35,0,0,0.000164693,1
38,224,0,0.000179872,2
43,0,0,0.000260921,1
46,0,1,0.000180963,1
55,262,0,0.000282199,2
53,120,0,0.000228016,0
47,24,0,0.000172962,1
41,173,0,0.000199253,0
47,119,0,0.000315287,0
35,17,0,0.00033824,1
31,350,0,0.000315624,2
34,0,0,0.000287017,1
33,0,0,0.000154365,1
33,0,0,0.000183582,1
44,13,0,0.000284015,1
34,245,0,0.000287551,2
54,226,13,0.000307741,2
8,102,0,0.000246284,0
60,85,5,0.000267515,0
48,74,7,0.000250282,0
54,64,0,0.000343903,0
39,0,0,0.000135307,1
37,358,0,0.000216722,2
43,0,0,0.000137483,1
62,287,4,0.000330558,2
